ICAO,IATA,DB ID,FlighStats API Name (Okay quality),OurAirports.com Name (Good quality),FlightAware API Name (bad quality),Marketing Name (OurAirports + our edits),City,Country,Country Code,Continent,Latitude,Longitude,Timezone,Flight Rank,Relevance,On Time Departures,On Time Departures Rank,Cancel %,No Flights,Airport Type,Elevation (ft),Website,Apple terminal maps? (63),Google terminal maps?,"If Gate known, replace any ""N/A"" Terminal with:"
HKLK,LKG,0e71af01-d8fc-460e-9746-2e414389dffb,Lokichoggio Airport,Lokichoggio Airport,,Lokichoggio ,Lokichogio,Kenya,KE,Africa,4.203645,34.349976,Africa/Nairobi,,2,,,,,medium_airport,2074,http://www.kenyaairports.co.ke/kaa/airports/loki/,,,
YFLI,FLS,a21e971c-71ce-48f4-9171-763bdf7aa1dc,Flinders Island Airport,Flinders Island Airport,Flinders Island,Flinders Island ,Flinders Island,Australia,AU,Oceania,-40.0917,147.993001,Australia/Hobart,,2,,,,,small_airport,10,http://www.flinders.tas.gov.au/flinders-island-airport,,,
KCOF,COF,b48e0daa-48e9-473c-96bb-539cb07b2308,Patrick Air Force Base,Patrick Air Force Base,Patrick Afb,Patrick Air Force Base,Cocoa,United States,US,North America,28.241516,-80.609387,America/New_York,,2,,,,,medium_airport,8,http://www.patrick.af.mil/,,,
NFNK,LKB,e93a288d-b27b-4d28-a173-85e00304f0fe,Lakeba Island Airport,Lakeba Island Airport,Lakemba,Lakeba Island ,Lakeba,Fiji,FJ,Oceania,-18.2,179.2,Pacific/Fiji,,2,,,,,small_airport,280,,,,
LPFL,FLW,6ccdfd82-b58e-446a-aba9-5df7e87a80cc,Flores Airport,Flores Airport,Flores,Flores ,Flores Island (Azores),Portugal,PT,Europe,39.466667,-31.15,Atlantic/Azores,,2,,,,,medium_airport,112,,,,
KFLV,FLV,01b012d6-21d8-4e3c-b03d-fc8b4aaac0b6,Sherman Army Air Field,Sherman Army Air Field,Sherman Aaf,Sherman Army Air Field,Fort Leavenworth,United States,US,North America,39.368307,-94.914695,America/Chicago,,1,,,,,small_airport,772,http://www.lvks.org/department/division.php?structureid=141,,,
LKPD,PED,26c583c1-85ad-4c66-be0d-4eff4dceb4a9,Pardubice Airport,Pardubice Airport,Pardubice,Pardubice ,Pardubice,Czech Republic,CZ,Europe,50.013333,15.738611,Europe/Prague,,2,,,,,medium_airport,741,http://www.airport-pardubice.cz/?lang=en,,,
EGUL,LKZ,e7e6945a-f479-4f61-bd7e-1ba07c9cd122,RAF Lakenheath,RAF Lakenheath,RAF Lakenheath,RAF Lakenheath,Brandon,United Kingdom,GB,Europe,52.491667,0.67609,Europe/London,,1,,,,,large_airport,32,http://www.lakenheath.af.mil/,,,
KFLO,FLO,2f722d4d-88f5-49a0-860c-1af97da92f10,Florence Regional Airport,Florence Regional Airport,Florence Rgnl,Florence Regional ,Florence,United States,US,North America,34.188889,-79.724444,America/New_York,,2,,,,,medium_airport,146,,,,
VECO,COH,b224d8fe-2f35-465d-9581-32dccb3b45d3,Cooch Behar Airport,Cooch Behar Airport,Cooch Behar,Cooch Behar ,Cooch Behar,India,IN,Asia,26.333333,89.466667,Asia/Kolkata,,1,,,,,small_airport,138,,,,
KLKV,LKV,5b32c40c-70f7-4b89-b1e8-4217d419f55e,Lake County Airport,Lake County Airport,Lake County,Lake County ,Lakeview,United States,US,North America,42.166667,-120.4,America/Los_Angeles,,2,,,,,small_airport,4733,http://www.lakecountyor.org/government/airport/index.php,,,
SBCF,CNF,c64283eb-c91d-4b23-91c0-b31d1723f84a,Tancredo Neves International Airport,Tancredo Neves International Airport,Tancredo Neves Intl,Tancredo Neves Intl ,Belo Horizonte,Brazil,BR,South America,-19.632417,-43.963213,America/Sao_Paulo,184,4,88%,142,1%,3663,large_airport,2715,http://www.infraero.gov.br/usa/aero_prev_home.php?ai=207,,,
KFLD,FLD,5e392148-54c1-4e3d-a3d0-e1a96d786377,Fond du Lac County Airport,Fond du Lac County Airport,Fond Du Lac County,Fond du Lac County ,Fond Du Lac,United States,US,North America,43.771198,-88.488403,America/Chicago,,2,,,,,small_airport,808,http://www.fdlco.wi.gov/departments/departments-a-e/airport,,,
KFLG,FLG,6b54595e-e3e6-40e1-8521-ebb4a5c65369,Flagstaff Pulliam Airport,Flagstaff Pulliam Airport,Flagstaff Pulliam,Flagstaff Pulliam ,Flagstaff,United States,US,North America,35.137778,-111.671667,America/Phoenix,,2,,,,,medium_airport,7014,,,,
EDXF,FLF,ed40f261-d387-4f39-97b6-963bc78990f9,Flensburg-Schäferhaus Airport,Flensburg-Schäferhaus Airport,,Flensburg-Schäferhaus ,Flensburg,Germany,DE,Europe,54.772222,9.383333,Europe/Berlin,,1,,,,,small_airport,131,,,,
LIRZ,PEG,88118bb7-c115-44ed-b945-bb262acb39c6,Perugia San Francesco d'Assisi – Umbria International Airport,Perugia San Francesco d'Assisi – Umbria International Airport,San Egidio,Perugia San Francesco d'Assisi – Umbria Intl ,Perugia,Italy,IT,Europe,43.133333,12.366667,Europe/Rome,,2,,,,,medium_airport,697,http://www.airport.umbria.it/,,,
LZZI,ILZ,441830ef-98f7-425e-b134-68afa8d891a7,Žilina Airport,Žilina Airport,,Žilina ,Zilina,Slovakia,SK,Europe,49.233333,18.766667,Europe/Bratislava,,2,,,,,medium_airport,1020,,,,
EGPI,ILY,d09d7197-7a30-4fc9-a4f0-34767e2150d4,Islay Airport,Islay Airport,Islay,Islay ,Islay,United Kingdom,GB,Europe,55.681944,-6.254167,Europe/London,,2,,,,,medium_airport,56,,,,
CZBF,ZBF,35aa59a0-43f8-4f18-a14b-fdd6e81396fc,Bathurst Airport,Bathurst Airport,Bathurst,Bathurst ,Bathurst,Canada,CA,North America,47.629167,-65.739444,America/Halifax,,2,,,,,medium_airport,193,,,,
YCSV,KCE,750b723f-f29d-4158-8c78-3b9180c50882,Collinsville Airport,Collinsville Airport,,Collinsville ,Collinsville,Australia,AU,Oceania,-20.55,147.866667,Australia/Brisbane,,1,,,,,small_airport,180,,,,
OPKW,KCF,bdef21f3-6ad1-4408-9fc9-07e12a958136,Kadanwari Airport,,,,Kadanwari,Pakistan,PK,Asia,27.200146,69.152835,Asia/Karachi,,2,,,,,,,,,,
ZWKC,KCA,c6bd4edd-a5fe-4752-9aeb-5e58028debbc,Kuqa Airport,Kuqa Airport,Kuqa,Kuqa ,Kuqa,China,CN,Asia,41.71806,82.98694,Asia/Shanghai,,2,,,,,small_airport,3524,,,,
LTCN,KCM,044a39be-c518-46bc-9621-e2643f42747b,Kahramanmaraş Airport,Kahramanmaraş Airport,,Kahramanmaraş ,Kahramanmaras,Turkey,TR,Europe,37.534444,36.950556,Europe/Istanbul,,2,,,,,medium_airport,1723,,,,
LTBQ,KCO,9647329c-e8da-4278-ad89-d926634d7201,Cengiz Topel Airport,Cengiz Topel Airport,Cengiz Topel Naval,Cengiz Topel ,Izmit,Turkey,TR,Europe,40.735028,30.083336,Europe/Istanbul,,2,,,,,medium_airport,182,,,,
UIKK,KCK,53be9832-f1d0-442b-9c10-93d4dda9caf7,Kirensk Airport,Kirensk Airport,,Kirensk ,Kirensk,Russian Federation,RU,Europe,57.77,108.060002,Asia/Irkutsk,,2,,,,,small_airport,840,,,,
HUMI,KCU,da341a89-71a5-4fcb-84c0-f03803dd2290,Masindi Airport,Masindi Airport,Masindi,Masindi ,Masindi,Uganda,UG,Africa,1.683333,31.716667,Africa/Kampala,,1,,,,,small_airport,3850,,,,
VCCK,KCT,c59e8e93-b2b7-43be-9dc6-05a67e5e516d,Koggala Airport,Koggala Airport,Koggala,Koggala ,Koggala,Sri Lanka,LK,Asia,5.993832,80.319743,Asia/Colombo,,2,,,,,medium_airport,10,,,,
PAJC,KCQ,b5ce96b4-7c63-4977-b775-2f6fc23c3977,Chignik Lake Airport,Chignik Airport,,Chignik ,Chignik,United States,US,North America,56.261111,-158.777778,America/Anchorage,,2,,,,,small_airport,18,,,,
YKCS,KCS,41470dd0-c7af-49a4-a127-fd0131cd5259,Kings Creek Airport,Kings Creek Airport,,Kings Creek ,Kings Creek Station,Australia,AU,Oceania,-24.383333,131.683333,Australia/Darwin,,1,,,,,small_airport,615,,,,
KNLC,NLC,db5a7357-5e5e-4791-81d7-fd24775d58b1,Lemoore Naval Air Station (Reeves Field) Airport,Lemoore Naval Air Station (Reeves Field) Airport,Lemoore Nas (Reeves Fld),Lemoore Naval Air Station (Reeves Field) ,Lemoore,United States,US,North America,36.3,-119.766667,America/Los_Angeles,,1,,,,,medium_airport,232,http://www.cnic.navy.mil/regions/cnrsw/installations/nas_lemoore.html,,,
,CNV,f18deaa5-8b74-4ea9-853b-c87458403ee2,Canavieiras Airport,Canavieiras Airport,Canavieiras Airport,Canavieiras Airport,Canavieiras,Brazil,BR,South America,-15.666667,-38.983333,America/Belem,,1,,,,,,,,,,
ZUKD,KGT,e2709121-6fb3-4ed4-8660-10c35c562ff3,Kangding Airport,Kangding Airport,Kangding,Kangding ,Kangding,China,CN,Asia,30.13176,101.747534,Asia/Shanghai,,2,,,,,medium_airport,14042,,,,
GMAZ,OZG,ecb2cc71-e758-41e9-a262-eb8d31849bc2,Zagora Airport,Zagora Airport,,Zagora ,Zagora,Morocco,MA,Africa,30.267143,-5.852456,Africa/Casablanca,,2,,,,,small_airport,2631,,,,
KOZA,OZA,123981bf-763b-48a8-89fe-afd7c291a260,Ozona Municipal Airport,Ozona Municipal Airport,Ozona Muni,Ozona Municipal ,Ozona,United States,US,North America,30.716667,-101.216667,America/Chicago,,1,,,,,small_airport,2381,http://www.ozona.com/articles/view/ozona-municipal-airport-52b1db2c-3ff8-4122-8b3f-1a349bf0d2c8,,,
UKDE,OZH,c34d5d1b-2cef-4b2d-be48-d6dbe15ac8ec,Zaporizhzhia International Airport,Zaporizhzhia International Airport,Zaporizhia Intl,Zaporizhzhia Intl ,Zaporozhye,Ukraine,UA,Europe,47.8675,35.315833,Europe/Kiev,,2,,,,,medium_airport,373,,,,
KOZR,OZR,247da520-cc98-4d1a-88da-5e8ccda6ee86,Cairns AAF (Fort Rucker) Air Field,Cairns AAF (Fort Rucker) Air Field,Cairns Aaf (Fort Rucker),Cairns AAF (Fort Rucker) Air Field,Ozark,United States,US,North America,31.276799,-85.710038,America/Chicago,,1,,,,,medium_airport,301,,,,
LEMO,OZP,806674b9-6e9a-4fe5-92e8-fcf2dfdca291,Moron Air Base,Moron Air Base,,Moron Air Base,Moron,Spain and Canary Islands,ES,Europe,37.169797,-5.611906,Europe/Madrid,,2,,,,,medium_airport,285,,,,
GMMZ,OZZ,7eee9aaa-894a-402a-80aa-fdc1c93f59ab,Ouarzazate Airport,Ouarzazate Airport,Ouarzazate,Ouarzazate ,Ouarzazate,Morocco,MA,Africa,30.916667,-6.916667,Africa/Casablanca,,2,,,,,medium_airport,3782,,,,
OMAD,AZI,ac85489c-1b55-4d5b-b1f5-3ccc9b11ab3a,Bateen Airport,Bateen Airport,Bateen,Bateen ,Abu Dhabi,United Arab Emirates,AE,Middle East,24.428429,54.45961,Asia/Dubai,,2,,,,,medium_airport,16,,,,
